RANK,TIME,FULL NAME,FOREIGN,AGE,LSC,EVENT,TEAM NAME,MEET NAME,TIME STANDARD,RESULTS,COMPETITION YEAR
1,47.42,"Walsh, Gretchen",,21,VA,100 FL SCY,University Of Virginia,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
2,49.49,"Shackell, Alex",,17,IN,100 FL SCY,Carmel Swim Club,2023 Speedo Winter Junior Championships - East,2024 Summer Nationals (LCM),PROG.,2024
3,49.7,"Sticklen, Emma",,21,ST,100 FL SCY,University of Texas,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
4,50.19,"Crush, Charlotte",,15,KY,100 FL SCY,Lakeside Swim Team,2024 GA Speedo Southern Premier,2024 Summer Nationals (LCM),PROG.,2024
5,50.29,"Shackley, Leah",,17,AM,100 FL SCY,Unattached,2024 MA PIAA Girls AA State Championships,2024 Summer Nationals (LCM),PROG.,2024
6,50.33,"Bray, Olivia",,22,ST,100 FL SCY,University of Texas,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
7,50.37,"Pash, Kelly",,22,ST,100 FL SCY,University of Texas,Texas Invitational,2024 Summer Nationals (LCM),PROG.,2024
8,50.47,"Peoples, Olivia",,20,FL,100 FL SCY,University of Florida,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
9,50.6,"Ivey, Isabel",,22,FL,100 FL SCY,University of Florida,Georgia Invite,2024 Summer Nationals (LCM),PROG.,2024
10,50.66,"Lee, Meghan",,22,SE,100 FL SCY,Auburn University,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
11,50.68,"Albiero, Gabi",,22,KY,100 FL SCY,University of Louisville,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
12,50.72,"Arens, Abby",,21,NC,100 FL SCY,NC State University,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
13,50.87,"Yendell, Sophie",Yes,21,AM,100 FL SCY,University of Pittsburgh,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
14,50.89,"Kragh, Mia",,20,US,100 FL SCY,Unattached,2024 Women's PAC 12 Championships,2024 Summer Nationals (LCM),PROG.,2024
15,50.99,"Johnson, Gigi",,19,PC,100 FL SCY,Alto Swim Club,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
16,51.05,"Regenauer, Christiana",,22,KY,100 FL SCY,University of Louisville,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
17,51.09,"Jia, Annie",,16,MA,100 FL SCY,Upper Dublin Aquatic Club,2023 Speedo Winter Junior Championships - East,2024 Summer Nationals (LCM),PROG.,2024
17,51.09,"Vannote, Ellie",,22,NC,100 FL SCY,University Of North Carolina,Georgia Last Chance Invite,2024 Summer Nationals (LCM),PROG.,2024
19,51.26,"Nordmann, Lillie",,21,PC,100 FL SCY,Alto Swim Club,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
19,51.26,"Cannings, Kamryn",Yes,18,US,100 FL SCY,Unattached,2024 ASUN Championships,2024 Summer Nationals (LCM),PROG.,2024
21,51.31,"Carvalho, Giulia",Yes,21,FG,100 FL SCY,University Of Miami Hurricanes,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
